ONTENT_TYPE,POST_ID,URL,category,post_title,session,page_view,click_app_store,article_ctr,imp,click,search_ctr,sum_position,avg_position,sales,pv_unit_sales,app_link_click,cv,cvr,growth_rate
column,22348,https://good-apps.jp/media/column/22348,"未分類, 写真編集／加工, 写真・動画",【無料/人気】[Y]年流行りの顔加工アプリおすすめ５選！,11.80,12.20,2.00,16.39%,"1,599.00",5.67,0.35%,"15,135.33",10.43,,0.00,7.6,0,0.00%,
column,14780,https://good-apps.jp/media/column/14780,"ゲーム, アドベンチャーゲーム",【[Y]年最新版】おすすめ三国志ゲームアプリランキング,11.40,11.80,3.20,27.12%,823.00,8.67,1.05%,"6,491.67",9.12,"1,500.00",127.12,13,0.2,6.25%,
column,6372,https://good-apps.jp/media/column/6372,"ゲーム, カードゲーム",[Y]最新｜カードゲームアプリおすすめランキング11選｜TCG,11.80,11.80,1.40,11.86%,"1,209.00",10.00,0.83%,"11,628.00",10.60,,0.00,1.666666667,0,0.00%,
column,20328,https://good-apps.jp/media/column/20328,"マッチングアプリ, ライフスタイル",出会い系アプリのおすすめ人気ランキング8選【[Y]年】,11.00,11.80,2.00,16.95%,131.67,0.67,0.51%,"8,606.67",65.89,"2,200.00",186.44,15.2,0.2,10.00%,
column,4891,https://good-apps.jp/media/column/4891,"コスメ, ショッピング, ショッピング・オークション, 美容・おしゃれ",【[Y]年最新版】人気コスメアプリおすすめランキング,11.00,11.60,1.60,13.79%,"1,013.67",8.67,0.85%,"15,170.33",16.22,175.00,15.09,1.666666667,0.3333333333,20.83%,
column,15621,https://good-apps.jp/media/column/15621,"ゲーム, オンラインゲーム",無料で遊べる！人気LINEゲームのおすすめ一覧｜ポイ活・パズル,9.80,11.60,1.80,15.52%,"1,141.00",6.33,0.56%,"11,453.67",11.11,,0.00,23.6,0,0.00%,
column,7790,https://good-apps.jp/media/column/7790,"航空券, 旅行, ライフスタイル, 交通・移動",【[Y]年最新】おすすめ旅行アプリランキング｜旅行の計画・予約も無料アプリで,10.80,11.40,0.40,3.51%,"1,196.67",6.00,0.50%,"9,563.00",8.99,,0.00,4,0,0.00%,
column,15640,https://good-apps.jp/media/column/15640,"音楽, エンターテインメント",【[Y]年】癒しの自然音・環境音アプリおすすめランキング｜無料,9.60,11.40,4.40,38.60%,487.33,7.00,1.44%,"2,551.33",6.24,,0.00,14.6,0,0.00%,
column,23166,https://good-apps.jp/media/column/23166,ゲーム,みんなで楽しめる！無料の雑学クイズアプリおすすめ人気ランキング4選,10.00,10.60,6.40,60.38%,792.33,10.67,1.35%,"5,256.33",7.69,,0.00,13,0,0.00%,
column,587,https://good-apps.jp/media/column/587,"ニュース, ニュース・天気, ヘルスケア, スポーツ",【サッカー好き必見】おすすめのサッカーニュースアプリ5選,10.00,10.60,4.60,43.40%,477.67,8.67,1.81%,"3,759.00",9.11,,0.00,,,0.00%,
column,9941,https://good-apps.jp/media/column/9941,"スケジュール・カレンダー, 健康管理, ライフスタイル, ヘルスケア",排卵日が分かる！おすすめ無料【妊活アプリ】一覧｜夫婦で共有も,10.00,10.40,2.40,23.08%,866.33,5.67,0.65%,"6,041.33",7.97,332.50,31.97,2.25,1,41.67%,
column,16092,https://good-apps.jp/media/column/16092,"ゲーム, オンラインゲーム",【[Y]年最新】猫ゲームアプリおすすめランキング10選,9.60,10.40,1.80,17.31%,"2,533.33",7.67,0.30%,"18,473.33",8.32,,0.00,10.2,0,0.00%,
column,21740,https://good-apps.jp/media/column/21740,"エンターテインメント, 公営ギャンブル",[Y]年競馬予想アプリ人気ランキング【完全無料】,6.80,10.40,2.80,26.92%,756.33,5.67,0.75%,"11,400.00",16.58,"1,350.00",129.81,9.6,0.2,7.14%,
column,21403,https://good-apps.jp/media/column/21403,"エンターテインメント, 公営ギャンブル",オッズパークは怪しいorおかしい？精算されない・残高が消えた！？,9.60,10.40,0.40,3.85%,542.67,7.33,1.35%,"2,900.33",6.60,,0.00,4.666666667,0,0.00%,
column,6938,https://good-apps.jp/media/column/6938,"ライブ配信, ラジオ, エンターテインメント",【[Y]年最新】ラジオ配信アプリのおすすめ5選,8.60,10.40,1.40,13.46%,914.00,6.33,0.69%,"6,962.67",8.62,160.00,15.38,7,0.3333333333,23.81%,
column,554,https://good-apps.jp/media/column/554,"ゲーム, テーマ別, RPG, その他",【[Y]年最新版】これから流行る、新作のスマホゲームアプリ,10.00,10.20,0.80,7.84%,577.33,8.33,1.44%,"6,259.33",12.05,,0.00,8,0,0.00%,
column,7198,https://good-apps.jp/media/column/7198,"位置情報・GPS, 地図・ナビゲーション",【便利】おすすめの位置情報アプリランキングー家族・友達に位置を共有,7.40,10.20,0.80,7.84%,880.33,5.00,0.57%,"7,520.67",9.59,175.00,17.16,2.25,0.5,62.50%,
column,25291,https://good-apps.jp/media/column/25291,"ツール, ツール",植物図鑑アプリのおすすめ5選！名前や育て方がわかる便利アプリ,7.60,10.00,4.60,46.00%,273.33,6.00,2.20%,"2,572.00",10.50,,0.00,17,0,0.00%,
column,23384,https://good-apps.jp/media/column/23384,"ツール, イラスト・デザイン",3Dデッサン人形アプリおすすめランキング3選！無料サイトも紹介,9.80,10.00,4.60,46.00%,"1,412.00",6.67,0.47%,"10,472.00",8.38,,0.00,11.6,0,0.00%,
column,22669,https://good-apps.jp/media/column/22669,"写真編集／加工, 写真・動画",【[Y]】歯を白くするアプリおすすめ人気ランキング10選,9.60,9.80,4.00,40.82%,553.67,6.33,1.14%,"3,178.67",6.80,332.50,33.93,11.6,2.2,55.00%,
column,16637,https://good-apps.jp/media/column/16637,"マッチングアプリ, ライフスタイル",【課金なしで出会う】男性も無料のマッチングアプリ[Y]年最新おすすめ一覧,8.80,9.80,3.20,32.65%,"1,166.33",8.67,0.74%,"12,478.33",11.66,"1,908.50",194.74,10.8,0.4,12.50%,
column,24862,https://good-apps.jp/media/column/24862,"チャット, 通信・SNS",【匿名で安全】愚痴を聞いてくれる！おすすめ愚痴アプリ一覧,9.40,9.60,1.60,16.67%,193.00,7.00,3.63%,"1,261.33",7.54,,0.00,13.4,0,0.00%,
column,737,https://good-apps.jp/media/column/737,"ニュース, ニュース・天気",おすすめのニュースアプリを4つご紹介！各アプリの特徴など徹底解説！,8.60,9.40,0.20,2.13%,368.00,8.00,2.17%,"2,919.67",8.96,780.00,82.98,1.6,0.2,100.00%,
column,16705,https://good-apps.jp/media/column/16705,"ゲーム, オンラインゲーム",【[Y]年最新】戦車ゲームおすすめ5選！無料で遊べる,9.20,9.40,1.20,12.77%,897.67,7.67,0.85%,"6,331.33",8.14,,0.00,7.2,0,0.00%,
column,974,https://good-apps.jp/media/column/974,"ニュース, ライフスタイル, 防災, ニュース・天気, その他, アプリ解説",NHKニュース防災アプリの利用方法は？受信料はとられる？,7.80,9.00,0.40,4.44%,335.33,5.33,1.59%,"2,820.67",9.28,,0.00,,,0.00%,
column,8809,https://good-apps.jp/media/column/8809,"ゲーム, ボードゲーム, パーティーゲーム",【2人〜大人数】おすすめボードゲームアプリまとめ        ,7.20,8.80,0.60,6.82%,412.00,6.33,1.54%,"6,156.67",16.36,,0.00,,,0.00%,
column,23829,https://good-apps.jp/media/column/23829,"ポイ活, ファイナンス・マネー",【[Y]年】楽天ポイ活におすすめの人気アプリランキング！,8.00,8.80,1.40,15.91%,705.33,6.67,0.95%,"7,079.33",11.11,,0.00,16.4,0,0.00%,
column,10461,https://good-apps.jp/media/column/10461,"英語学習, 勉強",【無料あり】おすすめの英語スピーキングアプリ10選【[Y]年】,8.40,8.80,1.00,11.36%,926.67,4.00,0.43%,"8,982.33",10.72,800.00,90.91,4.75,0.25,25.00%,
column,18994,https://good-apps.jp/media/column/18994,"コスメ, 美容・おしゃれ",【[Y]年】美容医療・整形アプリおすすめランキング      ,8.80,8.60,1.00,11.63%,321.67,6.33,1.97%,"1,902.67",6.91,,0.00,5.4,0,0.00%,
